GeneName	TPM	log2_TPM
7SK	131488.0675	17.004583327425213
A1BG	42.94164407	5.457516943941875
A1BG-AS1	151.38934061999998	7.251618182025295
A1CF	1.277293483	1.1873202287536555
A2M	422.3183865	8.725599342044188
A2M-AS1	30.61030046	4.982322842969966
A2ML1	9.815206095	3.434989252503615
A2ML1-AS1	2.850408376	1.9450114667907914
A2MP1	1.24650709	1.1676836150292562
A3GALT2	0.837228773	0.8775312830212436
A4GALT	27.049078258999998	4.809881457057649
A4GNT	0.460935699	0.5468926813752977
AA06	0.251635632	0.3238146354220305
AAAS	222.766429	7.805849798837711
AACS	100.2237589	6.661404143835594
AADAC	0.486811455	0.5722217084643337
AADACL2-AS1	1.063856881	1.0453429299518113
AADACP1	0.143389733	0.19331724084828278
AADAT	6.52581965	2.911848716834944
AAGAB	110.5184816	6.8011390124871625
AAK1	169.9034901	7.417038048684373
AAMDC	57.428146149999996	5.868591610036633
AAMP	64.12675064	6.025178343127883
AANAT	4.030381455	2.3306678040806483
AAR2	114.8604389	6.856244224894243
AARD	24.630639889999998	4.679797592034443
AARS1	495.8423061	8.956644214030712
AARS2	26.38601181	4.775367278176311
AARSD1	84.79452093	6.422813611166088
AARSD1P1	49.45407836	5.656898986457576
AASDH	90.78283159	6.520152410812363
AASDHPPT	62.88630131	5.997434712298142
AASS	66.92545137	6.085880342210427
AATBC	33.23581888	5.097434615276699
AATF	22.437595983999998	4.550752693665153
AATK	93.53303263	6.562746632535916
ABALON	39.93694167	5.355331419956656
ABAT	128.2589973	7.014120894880821
ABCA1	32.44185136	5.063582813111403
ABCA10	55.12154111	5.810482721
ABCA11P	111.7844751	6.817424682581187
ABCA12	4.168095575	2.369632750431131
ABCA13	0.47194727599999997	0.5577259961125834
ABCA17P	10.959233957999999	3.580053076364089
ABCA2	798.7201599	9.643351446627618
ABCA3	179.38796709000002	7.494959295559974
ABCA4	2.843371696	1.942372507507861
ABCA5	428.9868689	8.748148792801487
ABCA6	17.68461241	4.223778731696802
ABCA7	258.08687745500004	8.017292135782782
ABCA8	21.160899187000002	4.469944515367745
ABCA9	15.96594404	4.0845698029628155
ABCA9-AS1	10.29236724	3.497276047043101
ABCB1	10.79795633	3.5604650693018214
ABCB10	31.28502444	5.012793214059066
ABCB11	1.8673293270000002	1.5197076147785873
ABCB4	8.038858292999999	3.176140555931582
ABCB5	0.776576321	0.8290996675957243
ABCB6	143.20513403799998	7.171978718565042
